interval_from,interval_to,LST,land_type,land_class,elev_class
2023-03-01,2023-03-02,303.260009765625,101.0,10.0,1.0
2023-03-01,2023-03-02,309.9800109863281,101.0,10.0,1.0
2023-03-01,2023-03-02,310.70001220703125,101.0,10.0,1.0
2023-03-01,2023-03-02,310.6400146484375,101.0,10.0,1.0
2023-03-01,2023-03-02,306.8999938964844,101.0,10.0,1.0
2023-03-01,2023-03-02,306.5199890136719,101.0,10.0,1.0
2023-03-01,2023-03-02,306.8999938964844,101.0,10.0,1.0
2023-03-01,2023-03-02,310.5400085449219,101.0,10.0,1.0
2023-03-01,2023-03-02,305.8800048828125,101.0,10.0,1.0
2023-03-01,2023-03-02,311.3599853515625,101.0,10.0,1.0
2023-03-01,2023-03-02,306.5,101.0,10.0,1.0
2023-03-01,2023-03-02,309.5400085449219,101.0,10.0,1.0
2023-03-01,2023-03-02,309.2099914550781,101.0,10.0,1.0
2023-03-01,2023-03-02,305.2300109863281,101.0,10.0,1.0
2023-03-01,2023-03-02,314.20001220703125,101.0,10.0,1.0
2023-03-01,2023-03-02,307.82000732421875,101.0,10.0,1.0
2023-03-01,2023-03-02,305.2300109863281,101.0,10.0,1.0
2023-03-01,2023-03-02,306.17999267578125,101.0,10.0,1.0
2023-03-01,2023-03-02,305.739990234375,101.0,10.0,1.0
2023-03-01,2023-03-02,304.57000732421875,101.0,10.0,1.0
2023-03-01,2023-03-02,307.8500061035156,101.0,10.0,1.0
2023-03-01,2023-03-02,306.95001220703125,101.0,10.0,1.0
2023-03-01,2023-03-02,306.4700012207031,101.0,10.0,1.0
2023-03-01,2023-03-02,306.7200012207031,101.0,10.0,1.0
2023-03-01,2023-03-02,305.1600036621094,101.0,10.0,1.0
2023-03-01,2023-03-02,305.2699890136719,101.0,10.0,1.0
2023-03-01,2023-03-02,306.6000061035156,101.0,10.0,1.0
2023-03-01,2023-03-02,305.79998779296875,101.0,10.0,1.0
2023-03-01,2023-03-02,304.6700134277344,101.0,10.0,1.0
2023-03-01,2023-03-02,306.239990234375,101.0,10.0,1.0
2023-03-01,2023-03-02,304.1600036621094,101.0,10.0,1.0
2023-03-01,2023-03-02,303.9700012207031,101.0,10.0,1.0
2023-03-01,2023-03-02,304.3800048828125,101.0,10.0,1.0
2023-03-01,2023-03-02,308.8800048828125,101.0,10.0,1.0
2023-03-01,2023-03-02,308.6099853515625,101.0,10.0,1.0
2023-03-01,2023-03-02,309.42999267578125,101.0,10.0,1.0
2023-03-01,2023-03-02,303.9700012207031,101.0,10.0,1.0
2023-03-01,2023-03-02,304.9100036621094,102.0,10.0,2.0
2023-03-01,2023-03-02,306.5799865722656,102.0,10.0,2.0
2023-03-01,2023-03-02,303.5299987792969,102.0,10.0,2.0
2023-03-01,2023-03-02,304.07000732421875,102.0,10.0,2.0
2023-03-01,2023-03-02,302.92999267578125,102.0,10.0,2.0
2023-03-01,2023-03-02,306.19000244140625,102.0,10.0,2.0
2023-03-01,2023-03-02,304.8800048828125,102.0,10.0,2.0
2023-03-01,2023-03-02,307.5899963378906,102.0,10.0,2.0
2023-03-01,2023-03-02,306.07000732421875,102.0,10.0,2.0
2023-03-01,2023-03-02,313.2900085449219,102.0,10.0,2.0
2023-03-01,2023-03-02,304.30999755859375,102.0,10.0,2.0
2023-03-01,2023-03-02,304.6400146484375,102.0,10.0,2.0
2023-03-01,2023-03-02,306.25,102.0,10.0,2.0
2023-03-01,2023-03-02,305.8399963378906,102.0,10.0,2.0
2023-03-01,2023-03-02,303.1600036621094,102.0,10.0,2.0
2023-03-01,2023-03-02,302.989990234375,102.0,10.0,2.0
2023-03-01,2023-03-02,308.0400085449219,102.0,10.0,2.0
2023-03-01,2023-03-02,305.8800048828125,102.0,10.0,2.0
2023-03-01,2023-03-02,305.2699890136719,102.0,10.0,2.0
